I give Clément Mihailescu a mock React.js interview that is geared towards beginners.\n\nCheckout the video we made on Clem's channel:,tech
Checkout the video we made on Clem's channel where I do an Algo interview: https://youtu.be/vHKzIPwWQkg,tech
Do you know what the scariest thing in the world is? Not knowing how to write a React component in a Ben Awad interview.,tech
so i work for him and he works for you...? i may have to quit,tech
How front end interviews should be: This video\n\nHow they actually are: ok so can you invert a binary tree for me please,tech
gender: “female”\nname: Object\n8:32,tech
I wish every tech interview was as friendly,tech
"""Feel free to use Google, StackOverflow..."" ""Real"" interviewers should take note!",tech
"imagine saying ""the uglier the better"" to a front end dev😂\nPs- Thanks for the 200 likes",tech
Ben is doing the sassy interviewer stereotype perfectly here.,tech
cool trick: \n1. Know nothing about React\n2. Watch this video\n3. Study React for a bit,tech
Clement when you did map - you forgot to assign key attribute.,tech
"22:00 - hmmm, did someone change the userInfo type in the userInfos.map call?",tech
I was dying with laughter when he tried to disable the lint rule with a comment,tech
Can we just appreciate and admire how Clement has nearly 100% accuracy while typing at those speeds,tech
"Ben, can you interview the Techlead? :D",tech
"This way of interviewing seems way more relative than just doing algorithms, I wish companies would adopt this.",tech
"""Uglier the better, this is my jam"" nailed it.",tech
12:26 we're not gonna catch any errors cuz..... we don't do that here\n\nCEO MATERIAL SPOTTED,tech
"Bruh, Imagine getting a job.",tech
"useCallback instead of useRef - it memoizes the fetch function for ref equality, so the effect doesnt rerun on every render. UseCallback will mean that if you eventually do a refactor so the function does depend on some value inside the component, your compiler will yell at you until you include it as a dependency. Useref might solve the problem now, but it can hide future potential dependencies. Also, working with a ref is annoying, constantly looking up .current or forgetting to.",tech
Should totally do the advanced react interview next,tech
tech youtubers have the best content on no nut november...\nhmmm...,tech
"Aside from needing to learn more about pagination, I’d get the job 😂 I wish interviews were like this",tech
"damn, even I'm nervous for Clement lmao",tech
This was inevitable. They are both great.,tech
"Just got to the gym, still in the parking lot .. can’t stop watching!! Haha great video",tech
33:05 - Wrap fetchNextUser with useCallback so the function reference will be memoized between component re-renders. It's a good and efficient practice and will satisfy the linter :),tech
Jajaja I've never imagined see those two in a vídeo jajaja,tech
i like the fact that clement is humble and admit that he doesn't know about the error upfront,tech
"""I'll put this in a p tag""\n""fantastic...!""",tech
Next time pls hire Mark Zuckerberg,tech
"WAIT!!!! Clement didn't promote AlgoExpert here, he ain't Clement 😂😂😂😂😂",tech
"Oh man, lucky FizzBuzz wasn't mentioned or there would have been virtual hands thrown",tech
Am I the only one to get Clement's algo expert ad with his girlfriend on Ben's videos lol,tech
This guy could probably speed run building startups,tech
ben go on webdevsimplified quiz show,tech
I've got notification of this video from both channels.,tech
This is the most forgiving interview I've seen LOL. Pls be everyone's interviewer Ben!,tech
Waiting for the next interview... Angular xD,tech
this was amazing. Loved that it was frontend ( I never get that in my life anymore),tech
"Another version for sure, this was one of my favorites!",tech
"Some react interview just ask you questions, and they take it from there.",tech
"In the 1st question Ben said '' I wanna see 0, then Increase to 2 and 3 , 4 , 5...'' That counter must skip the '1' am I right ? btw yo Google dm me :D",tech
"I'd love to see you guys continue this as a series, gradually increasing the difficulty!",tech
This is the greatest crossover of all time,tech
"I wish all interviews Front-End were like this. Relaxing, yet, extensive.",tech
"""You can use google, you can use stackoverflow."" <- Where does someone find this interviewer?",tech
"Hope you make React tutorial from scratch, I want to learn Rear since you developed that status it motivated me so much",tech
"Hello, how do i get to be interviewed. I would like to feature on a react interview.",tech
