,comment
0,"Why didn't you call your Instagram page: InstaGraham?
A missed opportunity..."
1,Hitting the like button felt powerful that time keep adding explosions
2,"My favorite advice: ""It's never a loss until you sell."""
3,"Let me guess before I watch:
""Buy and hold for the long term"""
4,"Can you do a video on pre nups and finances of marriage, income splitting etc. I think too many people go into marriages without the proper things in case of divorce."
5,Google ecomgrahamwild now someone posted all your mentorship content
6,I can't believe there are people who still watch the news rather than just watching Graham's videos lol
7,I'll just leave this here... for the algorithm
8,I really can't believe people are still stupid enough to panic sell when the market goes down. You like losing money?
9,"Graham: “It’s nothing to panic about”

News headlines: “Everyone panic!”"
10,"People tell me you need a good mentor to be successful.
Me: I have Graham Stephan, Warren Buffet, and  Books."
11,Don't worry about short term moves and buy and hold for the long term. Saved you 13 minutes 42 seconds but still smash the like button so Graham can buy the Tesla Roadster!
12,"When the stock market disconnects from the economy, it becomes a casino. The tech sector especially is in a huge bubble, they're rising because demand for stocks is high not because of fundamental performance. That demand will evaporate as quickly as it appeared out of nowhere."
13,"Thumbnail: On the verge of tears ""what am I going to do?""
Video Graham: It's fineee"
14,The 5 yr view is my favorite. I use it every time I am trying to get perspective.
15,They didn't allow Graham on Selling Sunset because he kept telling people to smash the like button for the Netflix algorithm.
16,"Grahams titles: OH MY GOD STOCK MARKET CRASH WE'RE ALL GONNA DIE
Grahams video: Yea so just buy and hold long term lmao"
17,"Wait... you’re saying printing 6 trillion in stimulus leads to consequences down the road?

Imagine my surprise!"
18,I liked when you told me to and missed the countdown :(
19,Mr  Aaron has really helped me especially during the lockdown thanks Mr Aaron
20,"Do you recommend buying a Global Tracker Fund as well as the S&P500? Thank you, Graham, you are helping me get into investing at a young age!"
21,Investing in cryptocurrency is one of the best chance of making Money
22,"Hey Graham, can you do a video on how the market will react to the upcoming election?"
23,Ssoooooo... Everytime Gram makes a video the stocks go up. Perfect strategy.
24,Wonder how this will affect Season 4 of Selling Sunset
25,"We investors needs to get ready for a market crash , as for me I have already invested in both gold and Bitcoin 👌🚀💯."
26,"Only invest in things you understand 

That’s my I will only ever invest in mutual and index funds - I understand none of this stuff"
27,Why does it look like he's boutta cry in the thumbnail. Chill man it's just a market crash lmao
28,"""Stock split!! Something happened!! Buy buy buy buy!!"""
29,"Red is good, buy!
Green is bad, be cautious."
30,Graham always be postin’ the same thing ~ I feel like I’ve seen this video 10x before 😂😂
31,Just here to remind people that studies show that buying and holding stocks outperforms trying to play the market
32,"12:28 ""The markets can remain irrational longer than you can remain solvent.""
John Maynard Keynes"
33,"Dude, you are hilarious 😂 thanks for the consistency!"
34,"Thank you for posting. The stock market gave me a positive day, just to spite / prove you wrong."
35,"Thanks Graham - as always, great insights & solid, solid perspective!"
36,"If TESLA crashes 40% everyone will say ""Oh I saw that coming, you should have sold what were you thinking"" 🤦🏽‍♂️😂"
37,"lucky for me i sold my stocks already and moved all my investment to forex, option and gold, and am making a consistent 1.5% profit daily, that's what i call putting money to good use.."
38,Graham. You look heartbroken in the thumbnail 😭. Hope you're okay now.
39,"6:36 59 dollar profit*, still have to pay the premium ;)"
40,"Stocks are good but I swapped and invested in forex trading, I've been making good profit"
41,"“Green is good, red is bad!!!” 😂 😂 😂 “then no guys you’ve been making too much loses...” Oh Graham, always a bust as I learn ❤️❤️much love man!"
42,It’s never a Loss as long as you learn something from it!
43,this is what happens when you have 0% rates that the federal reserve engineered.
44,"""Forecasting future events is often like searching for a black cat in an unlit room, that may not even be there. "" 
--Steve Davidson in The Crystal Ball."
45,BUY...AND HOLD.  You only lose when you sell.
46,Graham you should look at volume. It’s so low. It will definitely drop even way more than the last few days.
47,Been waiting on a good sale!
48,6:20 lmao the music just fits too well
49,Thank you for the calming advice.
50,"Hey Graham, love your content! You mention s&p as a good place to start. What are your thoughts on a nasdaq index?"
51,How I immediately like the videos immediately I click to watch is amazing!! 🔥🔥
52,He says it’s going to collapse all the time😂
53,Well I’ve refinanced my house to a 2.25 percent and I’m still buying and holding it’s all going well so much peace of mind by following that principle
54,"HAHAH the reverse always seems to happen while you're editing, but on a serious note, buy and hold works wonders"
55,I’ve been waiting for this video..☺️😅
56,I wanna see a video where you play that set!🙂
57,This was the simplest explanation of  call options.  Thanks:-)
58,"Not gonna lie, that was probably the most satisfied I've ever felt pressing the like button."
59,Love you’re video quality doesn’t go unnoticed!🥳
60,“A mini Warren Buffet”? I came here to become a mini Graham Stefan.
61,Faded in the thumbnail pic? I doubt this guy ever gets sad. lol 😂
62,"Hey Graham, i had my phone on full screen so i didn't manage to press that like button with you ! Sorry pal"
63,I feel so much better after watching this. Thanks Graham!
64,This mans thumbnail though 😅
65,Thanks for constant education. Today I learned what call options are :) Thumbs up!
66,Best explanation of options I've seen on the internet
67,Literally just look at the .com spike 1998-~2003 this mirrors it perfectly.
68,I got Levi Stock when I signed with Webull!
69,I’m sooo damn tired of ur thumbnails
70,How did you learn what you know about investing in the stock market? Great info! I'm finally starting to do it on my own outside of my bank curated portfolio.
71,Uh oh he’s talking options... the WSB degenerate in me got excited
72,Graham Stephen on the show selling sunset 1st episode 2919
73,"Graham needs some decent background lighting, looks like he's recording out of a tent"
74,100% volatility because of the election. biggest come back ever coming IMO
75,6:29 Can you see into the future?!? Lol😂
76,You’re awesome dude!  Thank you for sharing.. especially to new investors!
77,"I didn’t know you were going to say “one AND” 

Smashed the like too early sorry"
78,"When the stock market goes down?
SELL SELL SELL
When the stock market goes up?
BUY BUY BUY"
79,Always very entertaining and wealth of info. Thank you
80,I LOST IT when he said you will maybe JUST MAYBE in 30 years be a little mini warren buffet 😂😂😂😂
81,My pockets feel the transition lol
82,Best explanation ever for calls!
83,Any recommendations on online mortgages?
84,Hitting that like button at the exact same moment of the explosion made my fawking day!
85,Great video! I really loved how you brought up about collapse stocks
