,comment
0,Quality vid graham! Watched it all the way through!
1,MonkeyBoo LOVED doing the picks for Graham! It was great working with you guys! Can't wait to see the $$$ roll in
2,Where can I get a monkey?
3,"Monkey's got Tesla, hedging with Ford, he's smarter than he lets on"
4,Tesla is growing really fast. Netflix value went up by 15% after Biden became president. Cannot believe the money just randomly picked them.
5,"Great video. I have a poor portfolio and behind on my financial target. If you do your own investing, have you ever wondered whether you should turn things over to a professional? I have been pondering on the same question from stories hanging out on the news. How investors make millions in the marketplace using $100,000 only."
6,"It's freaky that RSG was chosen - Nikola just cancelled it's ""contract"" with the company for 2,500 garbage trucks today!   
But on a more serious note, I think that having TSLA as one of his picks is going to definitely skew the results Graham. XD"
7,"I love how open minded you are about investing, I read an article of investors that made good money within few months from shorting, so please I'd really love more tips and clues on how to outperform the market and make such profit using options."
8,"Reject modern stock picking, embrace monkey"
9,Monkey will win.
10,"Graham: ‘I only drink 20cents ice coffee’.  
Graham 2.0: ‘Guys today I spent 100k on a monkey’"
11,I will laugh like crazy if this monkey beats Jeremy at Financial Education
12,I dont believe it! to many cuts.
13,"It’s okay even though he loses 50% of that $100k, he will make recover + alpha within a month from this channel."
14,Ahahahahhahaa. This is brilliant 😂😂
15,"Call Cap 🧢. So in other words, M1 finance sponsored you for the 100 grand. Just keep it 💯"
16,Imagine having so much freaking money you can just casually drop 100k in a random game with a monkey 🐒
17,The same chant goes for this video as well as players on a BJ table. “Monkey! Monkey! Monkey!”
18,You just know the monkey is going to start a hedge fund.
19,This was awesome! Glad we could make this happen. Hopefully Monkey Boo beats the stock market!
20,I would have put Ford in the “F” tier...... sorry had to take the dad/investor joke
21,Best of luck!!! I see it's already going up and well!
22,"Ohhh!, I get it, sponsored video from M1 finance. Thank god, I was nervous he was actually going to use his own money."
23,"Mutual funds: temporary
Monke: forever"
24,Lmao how could I not click and automatically like this video.
25,"lost some credibility when $tsla got included in the GS30 index, then monkey picked tesla..no way I smell bs - smashing like -"
26,Hahahaha this was awesome! My prediction is that you'll beat the market in one year from today by at least 4% with this experiment 😉
27,"Me: picks random stocks
Monkey: picks random stocks
Both: pick ford"
28,Love it! Can't wait to see how this does. Keep us updated as much as possible. Maybe on twitter? :D
29,"This is brilliant! You've outdone yourself this time... 😆 Merry Xmas, Graham!"
30,I loved everything about this video! what a good one!
31,He literally just spent my goal onna monkey 😂 I have nothing to say
32,"This is simply amazing, one of the best videos on youtube, so excited to see the updates on this"
33,🙈
34,Would love to see you do a review on Titan. Looks like an app for Hedge Fund investing.
35,This is great!! 😂😂 Had to try it for myself just to see how this portfolio would do. (Paper trading of course) 🤣
36,"You can tell someone is rich when they just put $100,000 in the air lol"
37,This is gonna be my favorite series. The Monkey Portfolio. I look forward the the monthly updates
38,"I spent all my money investing based on a monkey's decisions, that monkey is me"
39,I love the idea of using a random generator to select the stocks. I look forward to seeing what happens with this portfolio.
40,I will def come back to this video to see how well info did since the monkey had ultimate confidence that one . monkey for the win !!!! 🙏🙏🙏😎😎
41,This is the content we have all been waiting for Graham.
42,"This is great! Thank you for do this experiment. 
I believe Jack Bogle had something to say about monkeys or apes picking stocks, now we can see it for real."
43,This monkey is gonna have better returns than everyone on WallStreetBets
